0,63.6,,Time,Treflect
,,,25,21.11
,,,25.1,21.09
,,,25.2,21.08
,,,25.3,21.14
,,,25.4,21.14
,,,25.5,21.15
,,,25.6,21.16
,,,25.7,21.14
,,,25.8,21.15
,,,25.9,21.12
,,,26,21.19
,,,26.1,21.16
,,,26.2,21.23
,,,26.3,21.2
,,,26.4,21.19
,,,26.5,21.15
,,,26.6,21.2
,,,26.7,21.19
,,,26.8,21.15
,,,26.9,21.12
,,,27,21.15
,,,27.1,21.16
,,,27.2,21.18
,,,27.3,21.14
,,,27.4,21.17
,,,27.5,21.17
,,,27.6,21.18
,,,27.7,21.19
,,,27.8,21.15
,,,27.9,21.14
,,,28,21.14
,,,28.1,21.18
,,,28.2,21.19
,,,28.3,21.15
,,,28.4,21.19
,,,28.5,21.15
,,,28.6,21.17
,,,28.7,21.2
,,,28.8,21.18
,,,28.9,21.19
,,,29,21.16
,,,29.1,21.17
,,,29.2,21.2
,,,29.3,21.15
,,,29.4,21.18
,,,29.5,21.2
,,,29.6,21.14
,,,29.7,21.16
,,,29.8,21.14
,,,29.9,21.24
,,,30,21.2
,,,30.1,21.17
,,,30.2,21.21
,,,30.3,21.15
,,,30.4,21.21
,,,30.5,21.17
,,,30.6,21.14
,,,30.7,21.2
,,,30.8,21.17
,,,30.9,21.11
,,,31,21.13
,,,31.1,21.11
,,,31.2,21.12
,,,31.3,21.07
,,,31.4,21.05
,,,31.5,21.04
,,,31.6,21.07
,,,31.7,21.08
,,,31.8,21.03
,,,31.9,21.01
,,,32,21.06
,,,32.1,21.14
,,,32.2,21.09
,,,32.3,21.04
,,,32.4,21.05
,,,32.5,21.04
,,,32.6,21.04
,,,32.7,21.05
,,,32.8,21.02
,,,32.9,21.01
,,,33,20.99
,,,33.1,21.01
,,,33.2,21.03
,,,33.3,21.01
,,,33.4,20.96
,,,33.5,20.92
,,,33.6,20.94
,,,33.7,20.98
,,,33.8,20.92
,,,33.9,20.9
,,,34,20.92
,,,34.1,20.91
,,,34.2,20.92
,,,34.3,20.92
,,,34.4,20.89
,,,34.5,20.89
,,,34.6,20.89
,,,34.7,20.94
,,,34.8,20.93
,,,34.9,20.97
,,,35,20.97
,,,35.1,21.01
,,,35.2,21.03
,,,35.3,20.96
,,,35.4,21.07
,,,35.5,21.04
,,,35.6,21.03
,,,35.7,21
,,,35.8,21.01
,,,35.9,21.05
,,,36,21.02
,,,36.1,20.99
,,,36.2,20.96
,,,36.3,21
,,,36.4,20.95
,,,36.5,20.95
,,,36.6,20.94
,,,36.7,20.94
,,,36.8,20.94
,,,36.9,20.9
,,,37,20.97
,,,37.1,20.91
,,,37.2,20.94
,,,37.3,20.93
,,,37.4,20.92
,,,37.5,20.9
,,,37.6,20.9
,,,37.7,20.89
,,,37.8,20.92
,,,37.9,20.92
,,,38,20.85
,,,38.1,20.84
,,,38.2,20.9
,,,38.3,20.91
,,,38.4,20.86
,,,38.5,20.87
,,,38.6,20.86
,,,38.7,20.84
,,,38.8,20.8
,,,38.9,20.84
,,,39,20.87
,,,39.1,20.82
,,,39.2,20.81
,,,39.3,20.86
,,,39.4,20.84
,,,39.5,20.8
,,,39.6,20.8
,,,39.7,20.82
,,,39.8,20.87
,,,39.9,20.84
,,,40,20.83
,,,40.1,20.83
,,,40.2,20.84
,,,40.3,20.82
,,,40.4,20.82
,,,40.5,20.79
,,,40.6,20.82
,,,40.7,20.8
,,,40.8,20.81
,,,40.9,20.8
,,,41,20.86
,,,41.1,20.84
,,,41.2,20.85
,,,41.3,20.84
,,,41.4,20.85
,,,41.5,20.85
,,,41.6,20.84
,,,41.7,20.84
,,,41.8,20.84
,,,41.9,20.84
,,,42,20.83
,,,42.1,20.85
,,,42.2,20.92
,,,42.3,20.85
,,,42.4,20.89
,,,42.5,20.82
,,,42.6,20.86
,,,42.7,20.87
,,,42.8,20.84
,,,42.9,20.85
,,,43,20.83
,,,43.1,20.92
,,,43.2,20.91
,,,43.3,20.84
,,,43.4,20.85
,,,43.5,20.81
,,,43.6,20.87
,,,43.7,20.84
,,,43.8,20.85
,,,43.9,20.8
,,,44,20.84
,,,44.1,20.82
,,,44.2,20.83
,,,44.3,20.81
,,,44.4,20.84
,,,44.5,20.81
,,,44.6,20.76
,,,44.7,20.75
,,,44.8,20.79
,,,44.9,20.76
,,,45,20.75
,,,45.1,20.79
,,,45.2,20.76
,,,45.3,20.76
,,,45.4,20.8
,,,45.5,20.77
,,,45.6,20.77
,,,45.7,20.83
,,,45.8,20.78
,,,45.9,20.82
,,,46,20.82
,,,46.1,20.75
,,,46.2,20.74
,,,46.3,20.73
,,,46.4,20.75
,,,46.5,20.79
,,,46.6,20.74
,,,46.7,20.77
,,,46.8,20.76
,,,46.9,20.73
,,,47,20.67
,,,47.1,20.7
,,,47.2,20.72
,,,47.3,20.71
,,,47.4,20.67
,,,47.5,20.69
,,,47.6,20.69
,,,47.7,20.74
,,,47.8,20.75
,,,47.9,20.72
,,,48,20.72
,,,48.1,20.69
,,,48.2,20.73
,,,48.3,20.69
,,,48.4,20.72
,,,48.5,20.72
,,,48.6,20.7
,,,48.7,20.68
,,,48.8,20.67
,,,48.9,20.73
,,,49,20.7
,,,49.1,20.75
,,,49.2,20.81
,,,49.3,20.77
,,,49.4,20.8
,,,49.5,20.75
,,,49.6,20.72
,,,49.7,20.76
,,,49.8,20.74
,,,49.9,20.74
,,,50,20.7
,,,50.1,20.73
,,,50.2,20.74
,,,50.3,20.72
,,,50.4,20.71
,,,50.5,20.7
,,,50.6,20.75
,,,50.7,20.69
,,,50.8,20.72
,,,50.9,20.7
,,,51,20.75
,,,51.1,20.74
,,,51.2,20.74
,,,51.3,20.73
,,,51.4,20.72
,,,51.5,20.74
,,,51.6,20.75
,,,51.7,20.75
,,,51.8,20.74
,,,51.9,20.75
,,,52,20.77
,,,52.1,20.74
,,,52.2,20.77
,,,52.3,20.71
,,,52.4,20.73
,,,52.5,20.68
,,,52.6,20.69
,,,52.7,20.77
,,,52.8,20.73
,,,52.9,20.78
,,,53,20.73
,,,53.1,20.75
,,,53.2,20.76
,,,53.3,20.77
,,,53.4,20.72
,,,53.5,20.7
,,,53.6,20.73
,,,53.7,20.75
,,,53.8,20.72
,,,53.9,20.75
,,,54,20.71
,,,54.1,20.7
,,,54.2,20.7
,,,54.3,20.74
,,,54.4,20.77
,,,54.5,20.77
,,,54.6,20.76
,,,54.7,20.75
,,,54.8,20.82
,,,54.9,20.75
,,,55,20.76
,,,55.1,20.71
,,,55.2,20.79
,,,55.3,20.74
,,,55.4,20.75
,,,55.5,20.77
,,,55.6,20.85
,,,55.7,20.75
,,,55.8,20.75
,,,55.9,20.78
,,,56,20.76
,,,56.1,20.75
,,,56.2,20.8
,,,56.3,20.82
,,,56.4,20.76
,,,56.5,20.8
,,,56.6,20.75
,,,56.7,20.74
,,,56.8,20.77
,,,56.9,20.82
,,,57,20.78
,,,57.1,20.72
,,,57.2,20.73
,,,57.3,20.74
,,,57.4,20.76
,,,57.5,20.71
,,,57.6,20.68
,,,57.7,20.66
,,,57.8,20.71
,,,57.9,20.66
,,,58,20.67
,,,58.1,20.67
,,,58.2,20.71
,,,58.3,20.76
,,,58.4,20.73
,,,58.5,20.76
,,,58.6,20.71
,,,58.7,20.74
,,,58.8,20.75
,,,58.9,20.72
,,,59,20.75
,,,59.1,20.7
,,,59.2,20.71
,,,59.3,20.75
,,,59.4,20.7
,,,59.5,20.75
,,,59.6,20.68
,,,59.7,20.67
,,,59.8,20.72
,,,59.9,20.72
,,,60,20.72
,,,60.1,20.72
,,,60.2,20.72
,,,60.3,20.72
,,,60.4,20.72
,,,60.5,20.72
,,,60.6,20.72
,,,60.7,20.72
,,,60.8,20.72
,,,60.9,20.72
,,,61,20.72
,,,61.1,20.77
,,,61.2,20.79
,,,61.3,20.75
,,,61.4,20.81
,,,61.5,20.76
,,,61.6,20.73
,,,61.7,20.73
,,,61.8,20.71
,,,61.9,20.73
,,,62,20.77
,,,62.1,20.78
,,,62.2,20.8
,,,62.3,20.76
,,,62.4,20.73
,,,62.5,20.72
,,,62.6,20.73
,,,62.7,20.71
,,,62.8,20.74
,,,62.9,20.73
,,,63,20.7
,,,63.1,20.71
,,,63.2,20.78
,,,63.3,20.77
,,,63.4,20.77
,,,63.5,20.8
,,,63.6,20.79
,,,63.7,20.74
,,,63.8,20.72
,,,63.9,20.8
,,,64,20.76
,,,64.1,20.76
,,,64.2,20.7
,,,64.3,20.71
,,,64.4,20.71
,,,64.5,20.73
,,,64.6,20.71
,,,64.7,20.72
,,,64.8,20.71
,,,64.9,20.7
,,,65,20.69
,,,65.1,20.74
,,,65.2,20.67
,,,65.3,20.65
,,,65.4,20.66
,,,65.5,20.66
,,,65.6,20.7
,,,65.7,20.71
,,,65.8,20.73
,,,65.9,20.67
,,,66,20.66
,,,66.1,20.71
,,,66.2,20.7
,,,66.3,20.68
,,,66.4,20.66
,,,66.5,20.74
,,,66.6,20.71
,,,66.7,20.7
,,,66.8,20.68
,,,66.9,20.66
,,,67,20.72
,,,67.1,20.7
,,,67.2,20.67
,,,67.3,20.66
,,,67.4,20.67
,,,67.5,20.66
,,,67.6,20.72
,,,67.7,20.72
,,,67.8,20.68
,,,67.9,20.76
,,,68,20.7
,,,68.1,20.68
,,,68.2,20.68
,,,68.3,20.65
,,,68.4,20.62
,,,68.5,20.63
,,,68.6,20.66
,,,68.7,20.66
,,,68.8,20.66
,,,68.9,20.61
,,,69,20.63
,,,69.1,20.66
,,,69.2,20.68
,,,69.3,20.62
,,,69.4,20.61
,,,69.5,20.62
,,,69.6,20.62
,,,69.7,20.61
,,,69.8,20.63
,,,69.9,20.67
,,,70,20.63
,,,70.1,20.62
,,,70.2,20.66
,,,70.3,20.61
,,,70.4,20.6
,,,70.5,20.62
,,,70.6,20.6
,,,70.7,20.58
,,,70.8,20.63
,,,70.9,20.7
,,,71,20.71
,,,71.1,20.66
,,,71.2,20.75
,,,71.3,20.71
,,,71.4,20.68
,,,71.5,20.74
,,,71.6,20.72
,,,71.7,20.73
,,,71.8,20.69
,,,71.9,20.66
,,,72,20.68
,,,72.1,20.69
,,,72.2,20.67
,,,72.3,20.67
,,,72.4,20.67
,,,72.5,20.72
,,,72.6,20.7
,,,72.7,20.73
,,,72.8,20.73
,,,72.9,20.7
,,,73,20.7
,,,73.1,20.66
,,,73.2,20.65
,,,73.3,20.67
,,,73.4,20.65
,,,73.5,20.62
,,,73.6,20.66
,,,73.7,20.64
,,,73.8,20.65
,,,73.9,20.63
,,,74,20.63
,,,74.1,20.62
,,,74.2,20.67
,,,74.3,20.65
,,,74.4,20.65
,,,74.5,20.63
,,,74.6,20.63
,,,74.7,20.66
,,,74.8,20.63
,,,74.9,20.65
,,,75,20.66
,,,75.1,20.68
,,,75.2,20.68
,,,75.3,20.64
,,,75.4,20.65
,,,75.5,20.64
,,,75.6,20.65
,,,75.7,20.64
,,,75.8,20.63
,,,75.9,20.65
,,,76,20.66
,,,76.1,20.66
,,,76.2,20.65
,,,76.3,20.63
,,,76.4,20.61
,,,76.5,20.6
,,,76.6,20.62
,,,76.7,20.58
,,,76.8,20.58
,,,76.9,20.62
,,,77,20.61
,,,77.1,20.6
,,,77.2,20.59
,,,77.3,20.58
,,,77.4,20.57
,,,77.5,20.62
,,,77.6,20.56
,,,77.7,20.6
,,,77.8,20.58
,,,77.9,20.55
,,,78,20.56
,,,78.1,20.6
,,,78.2,20.63
,,,78.3,20.61
,,,78.4,20.63
,,,78.5,20.63
,,,78.6,20.6
,,,78.7,20.64
,,,78.8,20.69
,,,78.9,20.69
,,,79,20.6
,,,79.1,20.58
,,,79.2,20.58
,,,79.3,20.64
,,,79.4,20.62
,,,79.5,20.6
,,,79.6,20.63
,,,79.7,20.61
,,,79.8,20.6
,,,79.9,20.53
,,,80,20.56
,,,80.1,20.58
,,,80.2,20.61
,,,80.3,20.57
,,,80.4,20.54
,,,80.5,20.53
,,,80.6,20.6
,,,80.7,20.57
,,,80.8,20.57
,,,80.9,20.55
,,,81,20.53
,,,81.1,20.57
,,,81.2,20.53
,,,81.3,20.52
,,,81.4,20.54
,,,81.5,20.53
,,,81.6,20.53
,,,81.7,20.49
,,,81.8,20.58
,,,81.9,20.52
,,,82,20.53
,,,82.1,20.55
,,,82.2,20.52
,,,82.3,20.62
,,,82.4,20.6
,,,82.5,20.61
,,,82.6,20.64
,,,82.7,20.64
,,,82.8,20.68
,,,82.9,20.66
,,,83,20.64
,,,83.1,20.6
,,,83.2,20.61
,,,83.3,20.63
,,,83.4,20.6
,,,83.5,20.66
,,,83.6,20.6
,,,83.7,20.52
,,,83.8,20.56
,,,83.9,20.62
,,,84,20.59
,,,84.1,20.63
,,,84.2,20.59
,,,84.3,20.57
,,,84.4,20.6
,,,84.5,20.62
,,,84.6,20.59
,,,84.7,20.58
,,,84.8,20.64
,,,84.9,20.58
,,,85,20.57
,,,85.1,20.55
,,,85.2,20.6
,,,85.3,20.59
,,,85.4,20.62
,,,85.5,20.58
,,,85.6,20.65
,,,85.7,20.61
,,,85.8,20.56
,,,85.9,20.6
,,,86,20.57
,,,86.1,20.56
,,,86.2,20.59
,,,86.3,20.62
,,,86.4,20.61
,,,86.5,20.58
,,,86.6,20.61
,,,86.7,20.58
,,,86.8,20.56
,,,86.9,20.6
,,,87,20.57
,,,87.1,20.57
,,,87.2,20.59
,,,87.3,20.59
,,,87.4,20.58
,,,87.5,20.58
,,,87.6,20.6
,,,87.7,20.55
,,,87.8,20.55
,,,87.9,20.55
,,,88,20.56
,,,88.1,20.56
,,,88.2,20.56
,,,88.3,20.56
,,,88.4,20.56
,,,88.5,20.56
,,,88.6,20.56
,,,88.7,20.56
,,,88.8,20.56
,,,88.9,20.56
,,,89,20.56
,,,89.1,20.56
,,,89.2,20.56
,,,89.3,20.61
,,,89.4,20.67
,,,89.5,20.67
,,,89.6,20.67
,,,89.7,20.65
,,,89.8,20.65
,,,89.9,20.64
,,,90,20.63
,,,90.1,20.64
,,,90.2,20.64
,,,90.3,20.61
,,,90.4,20.63
,,,90.5,20.64
,,,90.6,20.64
,,,90.7,20.73
,,,90.8,20.69
,,,90.9,20.77
,,,91,20.79
,,,91.1,20.76
,,,91.2,20.74
,,,91.3,20.72
,,,91.4,20.73
,,,91.5,20.72
,,,91.6,20.74
,,,91.7,20.76
,,,91.8,20.76
,,,91.9,20.73
,,,92,20.72
,,,92.1,20.73
,,,92.2,20.75
,,,92.3,20.78
,,,92.4,20.72
,,,92.5,20.74
,,,92.6,20.73
,,,92.7,20.72
,,,92.8,20.67
,,,92.9,20.68
,,,93,20.7
,,,93.1,20.76
,,,93.2,20.72
,,,93.3,20.77
,,,93.4,20.71
,,,93.5,20.72
,,,93.6,20.71
,,,93.7,20.71
,,,93.8,20.68
,,,93.9,20.64
,,,94,20.66
,,,94.1,20.64
,,,94.2,20.66
,,,94.3,20.68
,,,94.4,20.64
,,,94.5,20.65
,,,94.6,20.64
,,,94.7,20.64
,,,94.8,20.65
,,,94.9,20.72
,,,95,20.7
,,,95.1,20.79
,,,95.2,20.74
,,,95.3,20.76
,,,95.4,20.74
,,,95.5,20.74
,,,95.6,20.74
,,,95.7,20.73
,,,95.8,20.73
,,,95.9,20.75
,,,96,20.79
,,,96.1,20.74
,,,96.2,20.74
,,,96.3,20.75
,,,96.4,20.73
,,,96.5,20.75
,,,96.6,20.72
,,,96.7,20.73
,,,96.8,20.7
,,,96.9,20.7
,,,97,20.72
,,,97.1,20.72
,,,97.2,20.71
,,,97.3,20.69
,,,97.4,20.73
,,,97.5,20.72
,,,97.6,20.64
,,,97.7,20.7
,,,97.8,20.66
,,,97.9,20.7
,,,98,20.68
,,,98.1,20.67
,,,98.2,20.64
,,,98.3,20.65
,,,98.4,20.64
,,,98.5,20.67
,,,98.6,20.64
,,,98.7,20.75
,,,98.8,20.69
,,,98.9,20.66
,,,99,20.64
,,,99.1,20.72
,,,99.2,20.69
,,,99.3,20.64
,,,99.4,20.66
,,,99.5,20.68
,,,99.6,20.72
,,,99.7,20.68
,,,99.8,20.7
,,,99.9,20.66
,,,100,20.7
,,,100.1,20.65
,,,100.2,20.64
,,,100.3,20.66
,,,100.4,20.62
,,,100.5,20.64
,,,100.6,20.72
,,,100.7,20.64
,,,100.8,20.64
,,,100.9,20.65
,,,101,20.66
,,,101.1,20.65
,,,101.2,20.63
,,,101.3,20.61
,,,101.4,20.6
,,,101.5,20.63
,,,101.6,20.64
,,,101.7,20.6
,,,101.8,20.63
,,,101.9,20.64
,,,102,20.62
,,,102.1,20.63
,,,102.2,20.66
,,,102.3,20.61
,,,102.4,20.61
,,,102.5,20.63
,,,102.6,20.61
,,,102.7,20.64
,,,102.8,20.58
,,,102.9,20.65
,,,103,20.59
,,,103.1,20.61
,,,103.2,20.62
,,,103.3,20.62
,,,103.4,20.59
,,,103.5,20.64
,,,103.6,20.66
,,,103.7,20.63
,,,103.8,20.59
,,,103.9,20.67
,,,104,20.67
,,,104.1,20.66
,,,104.2,20.64
,,,104.3,20.6
,,,104.4,20.63
,,,104.5,20.64
,,,104.6,20.6
,,,104.7,20.63
,,,104.8,20.65
,,,104.9,20.62
,,,105,20.64
,,,105.1,20.63
,,,105.2,20.59
,,,105.3,20.59
,,,105.4,20.54
,,,105.5,20.54
,,,105.6,20.61
,,,105.7,20.57
,,,105.8,20.57
,,,105.9,20.56
,,,106,20.66
,,,106.1,20.65
,,,106.2,20.63
,,,106.3,20.61
,,,106.4,20.63
,,,106.5,20.64
,,,106.6,20.74
,,,106.7,20.69
,,,106.8,20.69
,,,106.9,20.67
,,,107,20.68
,,,107.1,20.73
,,,107.2,20.71
,,,107.3,20.71
,,,107.4,20.69
,,,107.5,20.78
,,,107.6,20.71
,,,107.7,20.71
,,,107.8,20.71
,,,107.9,20.69
,,,108,20.69
,,,108.1,20.73
,,,108.2,20.69
,,,108.3,20.67
,,,108.4,20.73
,,,108.5,20.75
,,,108.6,20.67
,,,108.7,20.69
,,,108.8,20.66
,,,108.9,20.69
,,,109,20.67
,,,109.1,20.72
,,,109.2,20.71
,,,109.3,20.69
,,,109.4,20.71
,,,109.5,20.73
,,,109.6,20.7
,,,109.7,20.71
,,,109.8,20.69
,,,109.9,20.68
,,,110,20.7
,,,110.1,20.74
,,,110.2,20.69
,,,110.3,20.69
,,,110.4,20.72
,,,110.5,20.69
,,,110.6,20.68
,,,110.7,20.72
,,,110.8,20.69
,,,110.9,20.66
,,,111,20.64
,,,111.1,20.64
,,,111.2,20.68
,,,111.3,20.64
,,,111.4,20.7
,,,111.5,20.66
,,,111.6,20.62
,,,111.7,20.64
,,,111.8,20.68
,,,111.9,20.6
,,,112,20.64
,,,112.1,20.61
,,,112.2,20.59
,,,112.3,20.59
,,,112.4,20.59
,,,112.5,20.62
,,,112.6,20.59
,,,112.7,20.61
,,,112.8,20.63
,,,112.9,20.64
,,,113,20.68
,,,113.1,20.66
,,,113.2,20.65
,,,113.3,20.63
,,,113.4,20.62
,,,113.5,20.65
,,,113.6,20.65
,,,113.7,20.65
,,,113.8,20.65
,,,113.9,20.62
,,,114,20.64
,,,114.1,20.63
,,,114.2,20.65
,,,114.3,20.64
,,,114.4,20.69
,,,114.5,20.76
,,,114.6,20.69
,,,114.7,20.65
,,,114.8,20.67
,,,114.9,20.67
,,,115,20.67
,,,115.1,20.72
,,,115.2,20.74
,,,115.3,20.68
,,,115.4,20.63
,,,115.5,20.63
,,,115.6,20.67
,,,115.7,20.66
,,,115.8,20.71
,,,115.9,20.72
,,,116,20.68
,,,116.1,20.66
,,,116.2,20.67
,,,116.3,20.7
,,,116.4,20.67
,,,116.5,20.67
,,,116.6,20.64
,,,116.7,20.62
,,,116.8,20.64
,,,116.9,20.63
,,,117,20.65
,,,117.1,20.6
,,,117.2,20.59
,,,117.3,20.62
,,,117.4,20.67
,,,117.5,20.68
,,,117.6,20.64
,,,117.7,20.67
,,,117.8,20.65
,,,117.9,20.65
,,,118,20.62
,,,118.1,20.58
,,,118.2,20.56
,,,118.3,20.68
,,,118.4,20.66
,,,118.5,20.64
,,,118.6,20.67
,,,118.7,20.65
,,,118.8,20.65
,,,118.9,20.7
,,,119,20.63
,,,119.1,20.68
,,,119.2,20.69
,,,119.3,20.68
,,,119.4,20.66
,,,119.5,20.66
,,,119.6,20.65
,,,119.7,20.64
,,,119.8,20.63
,,,119.9,20.59
,,,120,20.61
,,,120.1,20.6
